機関コード,コード連番,既存の識別コード,機関名,無効化フラグ,有効開始日時,有効終了日時,バージョン情報
"0220108222801700","1","20108222801700","茨城県鹿嶋市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108223601700","1","20108223601700","茨城県潮来市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108224401700","1","20108224401700","茨城県守谷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108225201700","1","20108225201700","茨城県常陸大宮市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108226101700","1","20108226101700","茨城県那珂市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108227901700","1","20108227901700","茨城県筑西市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108228701700","1","20108228701700","茨城県坂東市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108229501700","1","20108229501700","茨城県稲敷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108230901700","1","20108230901700","茨城県かすみがうら市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108231701700","1","20108231701700","茨城県桜川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108232501700","1","20108232501700","茨城県神栖市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108233301700","1","20108233301700","茨城県行方市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108234101700","1","20108234101700","茨城県鉾田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108235001700","1","20108235001700","茨城県つくばみらい市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108236801700","1","20108236801700","茨城県小美玉市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108302001700","1","20108302001700","茨城県茨城町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108309701700","1","20108309701700","茨城県大洗町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108310101700","1","20108310101700","茨城県城里町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108341101700","1","20108341101700","茨城県東海村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108364001700","1","20108364001700","茨城県大子町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108442501700","1","20108442501700","茨城県美浦村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108443301700","1","20108443301700","茨城県阿見町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108447601700","1","20108447601700","茨城県河内町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108521901700","1","20108521901700","茨城県八千代町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108542101700","1","20108542101700","茨城県五霞町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108546401700","1","20108546401700","茨城県境町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220108564201700","1","20108564201700","茨城県利根町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109201101700","1","20109201101700","栃木県宇都宮市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109202901700","1","20109202901700","栃木県足利市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109203701700","1","20109203701700","栃木県栃木市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109204501700","1","20109204501700","栃木県佐野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109205301700","1","20109205301700","栃木県鹿沼市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109206101700","1","20109206101700","栃木県日光市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109208801700","1","20109208801700","栃木県小山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109209601700","1","20109209601700","栃木県真岡市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109210001700","1","20109210001700","栃木県大田原市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109211801700","1","20109211801700","栃木県矢板市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109213401700","1","20109213401700","栃木県那須塩原市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109214201700","1","20109214201700","栃木県さくら市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109215101700","1","20109215101700","栃木県那須烏山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109216901700","1","20109216901700","栃木県下野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109301701700","1","20109301701700","栃木県上三川町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109342401700","1","20109342401700","栃木県益子町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109343201700","1","20109343201700","栃木県茂木町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109344101700","1","20109344101700","栃木県市貝町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109345901700","1","20109345901700","栃木県芳賀町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109361101700","1","20109361101700","栃木県壬生町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109364501700","1","20109364501700","栃木県野木町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109384001700","1","20109384001700","栃木県塩谷町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109386601700","1","20109386601700","栃木県高根沢町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109407201700","1","20109407201700","栃木県那須町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220109411101700","1","20109411101700","栃木県那珂川町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110201601700","1","20110201601700","群馬県前橋市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110202401700","1","20110202401700","群馬県高崎市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110203201700","1","20110203201700","群馬県桐生市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110204101700","1","20110204101700","群馬県伊勢崎市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110205901700","1","20110205901700","群馬県太田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110206701700","1","20110206701700","群馬県沼田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110207501700","1","20110207501700","群馬県館林市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110208301700","1","20110208301700","群馬県渋川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110209101700","1","20110209101700","群馬県藤岡市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110210501700","1","20110210501700","群馬県富岡市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110211301700","1","20110211301700","群馬県安中市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110212101700","1","20110212101700","群馬県みどり市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110344601700","1","20110344601700","群馬県榛東村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110345401700","1","20110345401700","群馬県吉岡町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110366701700","1","20110366701700","群馬県上野村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110367501700","1","20110367501700","群馬県神流町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110382901700","1","20110382901700","群馬県下仁田町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110383701700","1","20110383701700","群馬県南牧村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110384501700","1","20110384501700","群馬県甘楽町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110421301700","1","20110421301700","群馬県中之条町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110424801700","1","20110424801700","群馬県長野原町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110425601700","1","20110425601700","群馬県嬬恋村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110426401700","1","20110426401700","群馬県草津町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110428101700","1","20110428101700","群馬県高山村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110429901700","1","20110429901700","群馬県東吾妻町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110443401700","1","20110443401700","群馬県片品村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110444201700","1","20110444201700","群馬県川場村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110448501700","1","20110448501700","群馬県昭和村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110449301700","1","20110449301700","群馬県みなかみ町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110464701700","1","20110464701700","群馬県玉村町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110521001700","1","20110521001700","群馬県板倉町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110522801700","1","20110522801700","群馬県明和町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110523601700","1","20110523601700","群馬県千代田町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110524401700","1","20110524401700","群馬県大泉町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220110525201700","1","20110525201700","群馬県邑楽町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111100701700","1","20111100701700","埼玉県さいたま市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111201101700","1","20111201101700","埼玉県川越市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111202001700","1","20111202001700","埼玉県熊谷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111203801700","1","20111203801700","埼玉県川口市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111206201700","1","20111206201700","埼玉県行田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111207101700","1","20111207101700","埼玉県秩父市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111208901700","1","20111208901700","埼玉県所沢市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111209701700","1","20111209701700","埼玉県飯能市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111210101700","1","20111210101700","埼玉県加須市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111211901700","1","20111211901700","埼玉県本庄市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111212701700","1","20111212701700","埼玉県東松山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111214301700","1","20111214301700","埼玉県春日部市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111215101700","1","20111215101700","埼玉県狭山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111216001700","1","20111216001700","埼玉県羽生市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111217801700","1","20111217801700","埼玉県鴻巣市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111218601700","1","20111218601700","埼玉県深谷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111219401700","1","20111219401700","埼玉県上尾市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111221601700","1","20111221601700","埼玉県草加市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111222401700","1","20111222401700","埼玉県越谷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111223201700","1","20111223201700","埼玉県蕨市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111224101700","1","20111224101700","埼玉県戸田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111225901700","1","20111225901700","埼玉県入間市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111227501700","1","20111227501700","埼玉県朝霞市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111228301700","1","20111228301700","埼玉県志木市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111229101700","1","20111229101700","埼玉県和光市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111230501700","1","20111230501700","埼玉県新座市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111231301700","1","20111231301700","埼玉県桶川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111232101700","1","20111232101700","埼玉県久喜市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111233001700","1","20111233001700","埼玉県北本市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111234801700","1","20111234801700","埼玉県八潮市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111235601700","1","20111235601700","埼玉県富士見市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111237201700","1","20111237201700","埼玉県三郷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111238101700","1","20111238101700","埼玉県蓮田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111239901700","1","20111239901700","埼玉県坂戸市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111240201700","1","20111240201700","埼玉県幸手市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111241101700","1","20111241101700","埼玉県鶴ヶ島市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111242901700","1","20111242901700","埼玉県日高市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111243701700","1","20111243701700","埼玉県吉川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111245301700","1","20111245301700","埼玉県ふじみ野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111246101700","1","20111246101700","埼玉県白岡市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111301801700","1","20111301801700","埼玉県伊奈町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111324701700","1","20111324701700","埼玉県三芳町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111326301700","1","20111326301700","埼玉県毛呂山町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111327101700","1","20111327101700","埼玉県越生町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111341701700","1","20111341701700","埼玉県滑川町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111342501700","1","20111342501700","埼玉県嵐山町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111343301700","1","20111343301700","埼玉県小川町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111346801700","1","20111346801700","埼玉県川島町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111347601700","1","20111347601700","埼玉県吉見町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111348401700","1","20111348401700","埼玉県鳩山町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111349201700","1","20111349201700","埼玉県ときがわ町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111361101700","1","20111361101700","埼玉県横瀬町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111362001700","1","20111362001700","埼玉県皆野町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111363801700","1","20111363801700","埼玉県長瀞町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111365401700","1","20111365401700","埼玉県小鹿野町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111369701700","1","20111369701700","埼玉県東秩父村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111381601700","1","20111381601700","埼玉県美里町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111383201700","1","20111383201700","埼玉県神川町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111385901700","1","20111385901700","埼玉県上里町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111408101700","1","20111408101700","埼玉県寄居町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111442101700","1","20111442101700","埼玉県宮代町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111464201700","1","20111464201700","埼玉県杉戸町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220111465101700","1","20111465101700","埼玉県松伏町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112100201700","1","20112100201700","千葉県千葉市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112202501700","1","20112202501700","千葉県銚子市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112203301700","1","20112203301700","千葉県市川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112204101700","1","20112204101700","千葉県船橋市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112205001700","1","20112205001700","千葉県館山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112206801700","1","20112206801700","千葉県木更津市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112207601700","1","20112207601700","千葉県松戸市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112208401700","1","20112208401700","千葉県野田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112210601700","1","20112210601700","千葉県茂原市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112211401700","1","20112211401700","千葉県成田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112212201700","1","20112212201700","千葉県佐倉市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112213101700","1","20112213101700","千葉県東金市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112215701700","1","20112215701700","千葉県旭市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112216501700","1","20112216501700","千葉県習志野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112217301700","1","20112217301700","千葉県柏市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112218101700","1","20112218101700","千葉県勝浦市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112219001700","1","20112219001700","千葉県市原市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112220301700","1","20112220301700","千葉県流山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112221101700","1","20112221101700","千葉県八千代市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112222001700","1","20112222001700","千葉県我孫子市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112223801700","1","20112223801700","千葉県鴨川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112224601700","1","20112224601700","千葉県鎌ケ谷市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112225401700","1","20112225401700","千葉県君津市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112226201700","1","20112226201700","千葉県富津市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112227101700","1","20112227101700","千葉県浦安市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112228901700","1","20112228901700","千葉県四街道市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112229701700","1","20112229701700","千葉県袖ケ浦市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112230101700","1","20112230101700","千葉県八街市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112231901700","1","20112231901700","千葉県印西市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112232701700","1","20112232701700","千葉県白井市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112233501700","1","20112233501700","千葉県富里市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112234301700","1","20112234301700","千葉県南房総市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112235101700","1","20112235101700","千葉県匝瑳市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112236001700","1","20112236001700","千葉県香取市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112237801700","1","20112237801700","千葉県山武市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112238601700","1","20112238601700","千葉県いすみ市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112239401700","1","20112239401700","千葉県大網白里市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112322601700","1","20112322601700","千葉県酒々井町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112329301700","1","20112329301700","千葉県栄町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112342101700","1","20112342101700","千葉県神崎町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112347101700","1","20112347101700","千葉県多古町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112349801700","1","20112349801700","千葉県東庄町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112403601700","1","20112403601700","千葉県九十九里町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112409501700","1","20112409501700","千葉県芝山町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112410901700","1","20112410901700","千葉県横芝光町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112421401700","1","20112421401700","千葉県一宮町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112422201700","1","20112422201700","千葉県睦沢町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112423101700","1","20112423101700","千葉県長生村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112424901700","1","20112424901700","千葉県白子町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112426501700","1","20112426501700","千葉県長柄町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112427301700","1","20112427301700","千葉県長南町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112441901700","1","20112441901700","千葉県大多喜町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112443501700","1","20112443501700","千葉県御宿町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220112463001700","1","20112463001700","千葉県鋸南町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113101601700","1","20113101601700","東京都千代田区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113102401700","1","20113102401700","東京都中央区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113103201700","1","20113103201700","東京都港区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113104101700","1","20113104101700","東京都新宿区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113105901700","1","20113105901700","東京都文京区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113106701700","1","20113106701700","東京都台東区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113107501700","1","20113107501700","東京都墨田区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113108301700","1","20113108301700","東京都江東区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113109101700","1","20113109101700","東京都品川区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113110501700","1","20113110501700","東京都目黒区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113111301700","1","20113111301700","東京都大田区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113112101700","1","20113112101700","東京都世田谷区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113113001700","1","20113113001700","東京都渋谷区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113114801700","1","20113114801700","東京都中野区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113115601700","1","20113115601700","東京都杉並区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113116401700","1","20113116401700","東京都豊島区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113117201700","1","20113117201700","東京都北区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113118101700","1","20113118101700","東京都荒川区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113119901700","1","20113119901700","東京都板橋区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113120201700","1","20113120201700","東京都練馬区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113121101700","1","20113121101700","東京都足立区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113122901700","1","20113122901700","東京都葛飾区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113123701700","1","20113123701700","東京都江戸川区","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113201201700","1","20113201201700","東京都八王子市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113202101700","1","20113202101700","東京都立川市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113203901700","1","20113203901700","東京都武蔵野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113204701700","1","20113204701700","東京都三鷹市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113205501700","1","20113205501700","東京都青梅市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113206301700","1","20113206301700","東京都府中市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113207101700","1","20113207101700","東京都昭島市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113208001700","1","20113208001700","東京都調布市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113209801700","1","20113209801700","東京都町田市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113210101700","1","20113210101700","東京都小金井市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113211001700","1","20113211001700","東京都小平市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113212801700","1","20113212801700","東京都日野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113213601700","1","20113213601700","東京都東村山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113214401700","1","20113214401700","東京都国分寺市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113215201700","1","20113215201700","東京都国立市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113218701700","1","20113218701700","東京都福生市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113219501700","1","20113219501700","東京都狛江市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113220901700","1","20113220901700","東京都東大和市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113221701700","1","20113221701700","東京都清瀬市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113222501700","1","20113222501700","東京都東久留米市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113223301700","1","20113223301700","東京都武蔵村山市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113224101700","1","20113224101700","東京都多摩市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113225001700","1","20113225001700","東京都稲城市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113227601700","1","20113227601700","東京都羽村市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113228401700","1","20113228401700","東京都あきる野市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113229201700","1","20113229201700","東京都西東京市","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113303501700","1","20113303501700","東京都瑞穂町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113305101700","1","20113305101700","東京都日の出町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113307801700","1","20113307801700","東京都檜原村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113308601700","1","20113308601700","東京都奥多摩町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113361201700","1","20113361201700","東京都大島町","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113362101700","1","20113362101700","東京都利島村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113363901700","1","20113363901700","東京都新島村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113364701700","1","20113364701700","東京都神津島村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
"0220113381701700","1","20113381701700","東京都三宅村","0","2009/01/01 00:00","9999/12/31 23:59","0002"
